Coin Name,Symbol
Bitcoin,BTC
Ethereum,ETH
XRP,XRP
BNB,BNB
Solana,SOL
Dogecoin,DOGE
Cardano,ADA
TRON,TRX
Chainlink,LINK
Stellar,XLM
Avalanche,AVAX
Litecoin,LTC
Sui,SUI
Toncoin,TON
Shiba Inu,SHIB
UNUS SED LEO,LEO
Hedera,HBAR
Hyperliquid,HYPE
Polkadot new,DOT
MANTRA,OM
Bitcoin Cash,BCH
Bitget Token new,BGB
Uniswap,UNI
Monero,XMR
Pepe,PEPE
Aave,AAVE
NEAR Protocol,NEAR
Ondo finance,ONDO
Mantle,MNT
OFFICIAL TRUMP,TRUMP
Aptos,APT
Ethereum Classic,ETC
Bittensor,TAO
Internet Computer,ICP
OKB,OKB
VeChain,VET
polygon-ecosystem-token,POL
Kaspa,KAS
Cronos,CRO
Algorand,ALGO
Jupiter-ag,JUP
Render,RENDER
Arbitrum,ARB
GateToken,GT
Filecoin,FIL
Lido DAO,LDO
optimism-ethereum,OP
Celestia,TIA
Sonic ,S
Artificial Superintelligence Alliance,FET
Cosmos,ATOM
KuCoin Token,KCS
Injective,INJ
XDC Network,XDC
DeXe,DEXE
Ethena,ENA
Stacks,STX
Flare,FLR
Bonk1,BONK
The Graph,GRT
Raydium,RAY
Quant,QNT
immutable-x,IMX
Sei,SEI
Theta Network,THETA
worldcoin-org,WLD
Movement,MOVE
Jasmy,JASMY
Pyth Network,PYTH
Bitcoin SV,BSV
Ronin,RON
Ethereum Name Service,ENS
FLOKI-inu,FLOKI
The Sandbox,SAND
Neo,NEO
Kaia,KAIA
Jito,JTO
Nexo,NEXO
Gala,GALA
IOTA,IOTA
Flow,FLOW
bittorrent-new,BTT
Tezos,XTZ
EOS,EOS
Maker,MKR
Arweave,AR
Melania Meme,MELANIA
dogwifhat,WIF
Aerodrome Finance,AERO
Axie Infinity,AXS
Curve DAO Token,CRV
AIOZ Network,AIOZ
Pudgy Penguins,PENGU
Starknet-token,STRK
Decentraland,MANA
SPX6900,SPX
Virtual Protocol,VIRTUAL
MultiversX-egld,EGLD
Onyxcoin,XCN
Fartcoin,FARTCOIN
