coin_id,name,symbol,current_price,market_cap,total_volume,60d_price_change_percentage,ath,ath_change_percentage
bitcoin,Bitcoin,btc,91916.0,1823333461020,49068456999,-4.032140651302029,108786.0,-15.77067
ethereum,Ethereum,eth,2502.16,301648349302,33586675570,-25.899931000156784,4878.26,-48.99261
tether,Tether,usdt,0.999831,142326878880,54378090099,-0.000257343475334687,1.32,-24.43228
ripple,XRP,xrp,2.31,133815930199,7005945374,6.302373470387996,3.4,-32.5432
binancecoin,BNB,bnb,613.88,89469278256,1292219675,-11.010119602259696,788.84,-22.66288
solana,Solana,sol,141.77,70206035002,9091332518,-25.649274459810723,293.31,-51.78544
usd-coin,USDC,usdc,0.999866,56601362839,13534661792,-0.11106777471901305,1.17,-14.73745
dogecoin,Dogecoin,doge,0.210443,31139788820,2681176550,-33.38919964679913,0.731578,-71.52677
cardano,Cardano,ada,0.686185,24663005136,1066685505,-21.170853081887536,3.09,-77.94691
tron,TRON,trx,0.24036,20690012379,1164770299,-5.5508979999856995,0.431288,-44.45435
litecoin,Litecoin,ltc,116.22,8780334299,1324107171,12.414426437018975,410.26,-71.86525
shiba-inu,Shiba Inu,shib,1.376e-05,8120645925,358343264,-36.60129955881079,8.616e-05,-84.10669
polkadot,Polkadot,dot,4.39,6687795450,304313194,-37.373643323743195,54.98,-92.05257
uniswap,Uniswap,uni,7.98,4781754087,297837457,-40.414913066938446,44.92,-82.34048
matic-network,Polygon,matic,0.266716,474573125,5336766,-44.84486820250913,2.92,-90.91791
