Name,Price,Market Cap
Reploy1RAI,$2.53,51.10%
Bitcoin2BTC,"$95,817.92",7.69%
Ethereum3ETH,"$2,737.81",16.02%
Solana4SOL,$179.15,29.13%
XRP5XRP,$2.66,16.31%
Cardano6ADA,$0.8054,24.41%
Pepe7PEPE,$0.00001009,44.57%
Dogecoin8DOGE,$0.2583,34.23%
Ark9ARK,$0.5504,3.70%
Aave10AAVE,$265.11,14.73%
Sui11SUI,$3.22,36.70%
Chainlink12LINK,$19.25,18.37%
TRON13TRX,$0.2401,0.11%
Sonic (prev. FTM)14S,$0.5811,13.99%
Bitget Token15BGB,$5.00,26.18%
Lido DAO16LDO,$1.84,6.79%
Shiba Inu17SHIB,$0.00001566,30.41%
Avalanche18AVAX,$24.95,35.52%
Berachain19BERA,$6.07,507.13%
Adventure Gold20AGLD,$1.28,28.04%
Ethereum Bridged ZED2021ETH.z,"$2,734.93",16.13%
Jupiter22JUP,$0.8165,22.87%
EigenLayer23EIGEN,$1.80,36.17%
Arbitrum24ARB,$0.491,34.87%
Tether USD Bridged ZED2025USDT.z,$1.01,0.25%
Ondo26ONDO,$1.23,2.36%
Optimism27OP,$1.18,33.95%
Ethereum Name Service28ENS,$27.31,17.89%
LIBRA29LIBRA,$0.4388,54.28%
Hedera30HBAR,$0.2123,39.51%
dogwifhat31WIF,$0.632,64.01%
NEAR Protocol32NEAR,$3.27,38.64%
Stellar33XLM,$0.3352,29.38%
Hyperliquid34HYPE,$25.49,24.31%
Polkadot35DOT,$4.88,29.24%
Injective36INJ,$15.12,35.44%
Solar37SXP,$0.2525,21.99%
Uniswap38UNI,$9.84,29.54%
Bittensor39TAO,$359.91,19.47%
Bitcoin Cash40BCH,$322.06,30.34%
ether.fi41ETHFI,$1.14,38.92%
API342API3,$1.04,28.03%
THORChain43RUNE,$1.21,67.93%
FLOKI44FLOKI,$0.00009574,42.49%
Aptos45APT,$5.96,35.08%
Worldcoin46WLD,$1.21,42.75%
Curve DAO Token47CRV,$0.5224,41.87%
Bonk48BONK,$0.00001674,50.49%
Fartcoin49FARTCOIN,$0.3678,77.60%
Ethereum Classic50ETC,$20.94,20.81%
